pi,trace(a),trace(g)
"tensor(8899.6045, device='cuda:0')","tensor(438355.5625, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(1507.5890, device='cuda:0')","tensor(83491.6094, device='cuda:0')","tensor(0.0122, device='cuda:0')"
"tensor(10726.9443, device='cuda:0')","tensor(220703.3438, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(701.1368, device='cuda:0')","tensor(17320.5820, device='cuda:0')","tensor(0.0117, device='cuda:0')"
"tensor(10580.2969, device='cuda:0')","tensor(212154.0312, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(649.0285, device='cuda:0')","tensor(14491.1445, device='cuda:0')","tensor(0.0114, device='cuda:0')"
"tensor(10369.2148, device='cuda:0')","tensor(205766.2500, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(701.2073, device='cuda:0')","tensor(16528.2031, device='cuda:0')","tensor(0.0111, device='cuda:0')"
"tensor(11310.2949, device='cuda:0')","tensor(203007.5625, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(513.1735, device='cuda:0')","tensor(8744.7812, device='cuda:0')","tensor(0.0110, device='cuda:0')"
"tensor(9037.0342, device='cuda:0')","tensor(195904.2500, device='cuda:0')","tensor(0.0040, device='cuda:0')"
"tensor(951.0124, device='cuda:0')","tensor(72528.3125, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11427.9307, device='cuda:0')","tensor(708370.5000, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(13.4106, device='cuda:0')","tensor(982.7307, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(35613.3750, device='cuda:0')","tensor(6131791., device='cuda:0')","tensor(0.0155, device='cuda:0')"
"tensor(39717.6250, device='cuda:0')","tensor(8423640., device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(8333.3457, device='cuda:0')","tensor(3083881.2500, device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(29208.2656, device='cuda:0')","tensor(3740763.5000, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(4556.9414, device='cuda:0')","tensor(896699.7500, device='cuda:0')","tensor(0.0143, device='cuda:0')"
"tensor(24820.8672, device='cuda:0')","tensor(2435513.5000, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5183.2939, device='cuda:0')","tensor(1129949., device='cuda:0')","tensor(0.0139, device='cuda:0')"
"tensor(15082.4238, device='cuda:0')","tensor(1005559., device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(3060.0894, device='cuda:0')","tensor(384418.8750, device='cuda:0')","tensor(0.0136, device='cuda:0')"
"tensor(9626.8623, device='cuda:0')","tensor(557490.5000, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(2124.9722, device='cuda:0')","tensor(174454.2188, device='cuda:0')","tensor(0.0128, device='cuda:0')"
"tensor(8598.5127, device='cuda:0')","tensor(434782.5625, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(1503.0437, device='cuda:0')","tensor(82662.1484, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(10194.8408, device='cuda:0')","tensor(218013.1250, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(691.5045, device='cuda:0')","tensor(16832.3418, device='cuda:0')","tensor(0.0117, device='cuda:0')"
"tensor(9783.5400, device='cuda:0')","tensor(209650.7188, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(644.2960, device='cuda:0')","tensor(14288.6377, device='cuda:0')","tensor(0.0114, device='cuda:0')"
