iteration,original_grad_norm,regularized_grad_norm
232,"tensor(4.1487, device='cuda:0')","tensor(11.2511, device='cuda:0')"
233,"tensor(5.2206, device='cuda:0')","tensor(13.5285, device='cuda:0')"
234,"tensor(6.0798, device='cuda:0')","tensor(61.1986, device='cuda:0')"
235,"tensor(4.8579, device='cuda:0')","tensor(41.8963, device='cuda:0')"
236,"tensor(4.8200, device='cuda:0')","tensor(38.9028, device='cuda:0')"
237,"tensor(4.1291, device='cuda:0')","tensor(37.0835, device='cuda:0')"
238,"tensor(4.6619, device='cuda:0')","tensor(37.9098, device='cuda:0')"
239,"tensor(4.4231, device='cuda:0')","tensor(34.9825, device='cuda:0')"
240,"tensor(3.9371, device='cuda:0')","tensor(34.3962, device='cuda:0')"
241,"tensor(3.3158, device='cuda:0')","tensor(9.8834, device='cuda:0')"
242,"tensor(3.0961, device='cuda:0')","tensor(13.6359, device='cuda:0')"
243,"tensor(2.3816, device='cuda:0')","tensor(12.5746, device='cuda:0')"
244,"tensor(1.7239, device='cuda:0')","tensor(13.2190, device='cuda:0')"
245,"tensor(1.2918, device='cuda:0')","tensor(17.3220, device='cuda:0')"
246,"tensor(1.2810, device='cuda:0')","tensor(19.1857, device='cuda:0')"
247,"tensor(2.0107, device='cuda:0')","tensor(16.4811, device='cuda:0')"
248,"tensor(2.9313, device='cuda:0')","tensor(19.6184, device='cuda:0')"
249,"tensor(3.1652, device='cuda:0')","tensor(21.6258, device='cuda:0')"
250,"tensor(2.9647, device='cuda:0')","tensor(28.1979, device='cuda:0')"
251,"tensor(3.3041, device='cuda:0')","tensor(10.9971, device='cuda:0')"
252,"tensor(2.5978, device='cuda:0')","tensor(11.3067, device='cuda:0')"
253,"tensor(2.5933, device='cuda:0')","tensor(11.6532, device='cuda:0')"
254,"tensor(2.8470, device='cuda:0')","tensor(12.5819, device='cuda:0')"
255,"tensor(1.9476, device='cuda:0')","tensor(14.6023, device='cuda:0')"
256,"tensor(2.2599, device='cuda:0')","tensor(18.5266, device='cuda:0')"
257,"tensor(2.2786, device='cuda:0')","tensor(16.6138, device='cuda:0')"
258,"tensor(2.6116, device='cuda:0')","tensor(33.7694, device='cuda:0')"
259,"tensor(1.8793, device='cuda:0')","tensor(25.7158, device='cuda:0')"
260,"tensor(2.1748, device='cuda:0')","tensor(24.4773, device='cuda:0')"
261,"tensor(2.7488, device='cuda:0')","tensor(11.2320, device='cuda:0')"
262,"tensor(3.4027, device='cuda:0')","tensor(13.0618, device='cuda:0')"
263,"tensor(3.8846, device='cuda:0')","tensor(12.7696, device='cuda:0')"
264,"tensor(4.2582, device='cuda:0')","tensor(12.9079, device='cuda:0')"
265,"tensor(4.0950, device='cuda:0')","tensor(13.1640, device='cuda:0')"
266,"tensor(4.1881, device='cuda:0')","tensor(16.2151, device='cuda:0')"
267,"tensor(5.0630, device='cuda:0')","tensor(19.4183, device='cuda:0')"
268,"tensor(5.2369, device='cuda:0')","tensor(20.0969, device='cuda:0')"
269,"tensor(4.9714, device='cuda:0')","tensor(19.7991, device='cuda:0')"
270,"tensor(4.7817, device='cuda:0')","tensor(19.7048, device='cuda:0')"
271,"tensor(4.9975, device='cuda:0')","tensor(15.7728, device='cuda:0')"
272,"tensor(4.8380, device='cuda:0')","tensor(17.7297, device='cuda:0')"
273,"tensor(4.3785, device='cuda:0')","tensor(15.8726, device='cuda:0')"
274,"tensor(3.0589, device='cuda:0')","tensor(14.5760, device='cuda:0')"
275,"tensor(2.5645, device='cuda:0')","tensor(13.2251, device='cuda:0')"
276,"tensor(2.6981, device='cuda:0')","tensor(13.9759, device='cuda:0')"
277,"tensor(2.8570, device='cuda:0')","tensor(15.0926, device='cuda:0')"
278,"tensor(2.7890, device='cuda:0')","tensor(14.0336, device='cuda:0')"
279,"tensor(3.1012, device='cuda:0')","tensor(15.3119, device='cuda:0')"
280,"tensor(3.6053, device='cuda:0')","tensor(16.9335, device='cuda:0')"
281,"tensor(3.5914, device='cuda:0')","tensor(12.0351, device='cuda:0')"
282,"tensor(4.8594, device='cuda:0')","tensor(32.7552, device='cuda:0')"
283,"tensor(5.8331, device='cuda:0')","tensor(28.9347, device='cuda:0')"
284,"tensor(4.4651, device='cuda:0')","tensor(18.9064, device='cuda:0')"
285,"tensor(4.2052, device='cuda:0')","tensor(17.0227, device='cuda:0')"
286,"tensor(4.7444, device='cuda:0')","tensor(20.7195, device='cuda:0')"
287,"tensor(3.7627, device='cuda:0')","tensor(16.9761, device='cuda:0')"
288,"tensor(3.9103, device='cuda:0')","tensor(16.4063, device='cuda:0')"
289,"tensor(4.4633, device='cuda:0')","tensor(17.8010, device='cuda:0')"
290,"tensor(3.9379, device='cuda:0')","tensor(17.6312, device='cuda:0')"
291,"tensor(2.6329, device='cuda:0')","tensor(7.5601, device='cuda:0')"
292,"tensor(2.5918, device='cuda:0')","tensor(7.7294, device='cuda:0')"
