pi,trace(a),trace(g)
"tensor(1966.9552, device='cuda:0')","tensor(171511.3750, device='cuda:0')","tensor(0.0147, device='cuda:0')"
"tensor(7934.8013, device='cuda:0')","tensor(440481.5938, device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(1433.7629, device='cuda:0')","tensor(84138.6719, device='cuda:0')","tensor(0.0136, device='cuda:0')"
"tensor(8839.3018, device='cuda:0')","tensor(220854.9688, device='cuda:0')","tensor(0.0009, device='cuda:0')"
"tensor(658.7394, device='cuda:0')","tensor(16563.6719, device='cuda:0')","tensor(0.0127, device='cuda:0')"
"tensor(9557.2676, device='cuda:0')","tensor(212840.3125, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(623.9648, device='cuda:0')","tensor(14417.0596, device='cuda:0')","tensor(0.0123, device='cuda:0')"
"tensor(9369.6270, device='cuda:0')","tensor(206910.8438, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(683.3234, device='cuda:0')","tensor(16727.3008, device='cuda:0')","tensor(0.0119, device='cuda:0')"
"tensor(9784.2490, device='cuda:0')","tensor(204773.6094, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(496.9959, device='cuda:0')","tensor(8684.0801, device='cuda:0')","tensor(0.0117, device='cuda:0')"
"tensor(8703.2344, device='cuda:0')","tensor(197494.6250, device='cuda:0')","tensor(0.0043, device='cuda:0')"
"tensor(959.9702, device='cuda:0')","tensor(74367.5469, device='cuda:0')","tensor(0.0269, device='cuda:0')"
"tensor(11202.0674, device='cuda:0')","tensor(684942.7500, device='cuda:0')","tensor(0.0269, device='cuda:0')"
"tensor(16.9718, device='cuda:0')","tensor(1573.9702, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(34275.2031, device='cuda:0')","tensor(6262969., device='cuda:0')","tensor(0.0171, device='cuda:0')"
"tensor(38155.3164, device='cuda:0')","tensor(8523604., device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(7979.5513, device='cuda:0')","tensor(3120806., device='cuda:0')","tensor(0.0163, device='cuda:0')"
"tensor(29086.6758, device='cuda:0')","tensor(3806769.7500, device='cuda:0')","tensor(0.0015, device='cuda:0')"
"tensor(4357.0801, device='cuda:0')","tensor(906576.5000, device='cuda:0')","tensor(0.0158, device='cuda:0')"
"tensor(22877.2441, device='cuda:0')","tensor(2481663., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(4995.4429, device='cuda:0')","tensor(1154536.6250, device='cuda:0')","tensor(0.0153, device='cuda:0')"
"tensor(13816.7686, device='cuda:0')","tensor(1015932.8750, device='cuda:0')","tensor(0.0018, device='cuda:0')"
"tensor(2929.2234, device='cuda:0')","tensor(387515.2812, device='cuda:0')","tensor(0.0150, device='cuda:0')"
"tensor(8963.0869, device='cuda:0')","tensor(568111.1875, device='cuda:0')","tensor(0.0023, device='cuda:0')"
"tensor(2041.9194, device='cuda:0')","tensor(173479.9688, device='cuda:0')","tensor(0.0138, device='cuda:0')"
"tensor(8522.8652, device='cuda:0')","tensor(448212.5625, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(1479.1227, device='cuda:0')","tensor(85044.5781, device='cuda:0')","tensor(0.0129, device='cuda:0')"
"tensor(9492.2666, device='cuda:0')","tensor(224289.4062, device='cuda:0')","tensor(0.0008, device='cuda:0')"
"tensor(677.0363, device='cuda:0')","tensor(16792.0547, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(9984.6299, device='cuda:0')","tensor(216379.0312, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(644.5204, device='cuda:0')","tensor(14820.1973, device='cuda:0')","tensor(0.0118, device='cuda:0')"
"tensor(9789.9785, device='cuda:0')","tensor(210322.6250, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(703.0180, device='cuda:0')","tensor(17114.5234, device='cuda:0')","tensor(0.0115, device='cuda:0')"
"tensor(10432.4023, device='cuda:0')","tensor(208161.6094, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(512.2231, device='cuda:0')","tensor(8942.4531, device='cuda:0')","tensor(0.0113, device='cuda:0')"
"tensor(8906.2158, device='cuda:0')","tensor(200715.4688, device='cuda:0')","tensor(0.0042, device='cuda:0')"
"tensor(969.7869, device='cuda:0')","tensor(75892.6641, device='cuda:0')","tensor(0.0269, device='cuda:0')"
"tensor(11248.4219, device='cuda:0')","tensor(690590.1250, device='cuda:0')","tensor(0.0269, device='cuda:0')"
"tensor(16.3123, device='cuda:0')","tensor(1454.0160, device='cuda:0')","tensor(4.9026, device='cuda:0')"
