iteration,original_grad_norm,regularized_grad_norm
250,"tensor(2.8245, device='cuda:0')","tensor(32.3707, device='cuda:0')"
251,"tensor(3.4549, device='cuda:0')","tensor(12.4668, device='cuda:0')"
252,"tensor(3.1546, device='cuda:0')","tensor(12.8583, device='cuda:0')"
253,"tensor(3.1722, device='cuda:0')","tensor(13.0265, device='cuda:0')"
254,"tensor(3.0279, device='cuda:0')","tensor(14.0415, device='cuda:0')"
255,"tensor(3.4395, device='cuda:0')","tensor(17.9677, device='cuda:0')"
256,"tensor(3.8490, device='cuda:0')","tensor(22.2871, device='cuda:0')"
257,"tensor(4.0578, device='cuda:0')","tensor(18.9408, device='cuda:0')"
258,"tensor(3.1654, device='cuda:0')","tensor(34.8428, device='cuda:0')"
259,"tensor(2.9447, device='cuda:0')","tensor(28.7749, device='cuda:0')"
260,"tensor(3.9203, device='cuda:0')","tensor(28.7246, device='cuda:0')"
261,"tensor(5.0703, device='cuda:0')","tensor(14.4895, device='cuda:0')"
262,"tensor(7.3950, device='cuda:0')","tensor(18.0747, device='cuda:0')"
263,"tensor(7.3042, device='cuda:0')","tensor(17.7078, device='cuda:0')"
264,"tensor(7.9656, device='cuda:0')","tensor(18.0212, device='cuda:0')"
265,"tensor(6.7699, device='cuda:0')","tensor(16.4745, device='cuda:0')"
266,"tensor(7.3350, device='cuda:0')","tensor(19.2575, device='cuda:0')"
267,"tensor(7.2604, device='cuda:0')","tensor(21.5718, device='cuda:0')"
268,"tensor(6.3050, device='cuda:0')","tensor(22.3005, device='cuda:0')"
269,"tensor(5.2342, device='cuda:0')","tensor(21.3758, device='cuda:0')"
270,"tensor(5.0979, device='cuda:0')","tensor(21.7021, device='cuda:0')"
271,"tensor(5.1219, device='cuda:0')","tensor(17.5539, device='cuda:0')"
272,"tensor(5.3342, device='cuda:0')","tensor(20.4950, device='cuda:0')"
273,"tensor(4.5203, device='cuda:0')","tensor(18.8325, device='cuda:0')"
274,"tensor(3.4230, device='cuda:0')","tensor(18.0774, device='cuda:0')"
275,"tensor(3.2270, device='cuda:0')","tensor(17.1746, device='cuda:0')"
276,"tensor(2.6839, device='cuda:0')","tensor(16.4895, device='cuda:0')"
277,"tensor(3.4070, device='cuda:0')","tensor(19.7209, device='cuda:0')"
278,"tensor(4.3125, device='cuda:0')","tensor(20.5876, device='cuda:0')"
279,"tensor(4.3710, device='cuda:0')","tensor(20.4102, device='cuda:0')"
280,"tensor(4.5486, device='cuda:0')","tensor(22.4691, device='cuda:0')"
281,"tensor(5.4624, device='cuda:0')","tensor(12.8684, device='cuda:0')"
282,"tensor(6.2474, device='cuda:0')","tensor(36.7394, device='cuda:0')"
283,"tensor(7.0730, device='cuda:0')","tensor(31.5906, device='cuda:0')"
284,"tensor(5.4285, device='cuda:0')","tensor(21.4725, device='cuda:0')"
285,"tensor(4.6195, device='cuda:0')","tensor(18.6107, device='cuda:0')"
286,"tensor(5.1280, device='cuda:0')","tensor(22.9357, device='cuda:0')"
287,"tensor(3.9320, device='cuda:0')","tensor(19.6849, device='cuda:0')"
288,"tensor(4.7829, device='cuda:0')","tensor(19.4765, device='cuda:0')"
289,"tensor(4.3080, device='cuda:0')","tensor(20.3626, device='cuda:0')"
290,"tensor(3.7161, device='cuda:0')","tensor(19.1648, device='cuda:0')"
291,"tensor(3.0242, device='cuda:0')","tensor(7.8183, device='cuda:0')"
292,"tensor(3.4212, device='cuda:0')","tensor(9.0015, device='cuda:0')"
293,"tensor(3.3975, device='cuda:0')","tensor(8.6202, device='cuda:0')"
294,"tensor(4.4141, device='cuda:0')","tensor(10.1047, device='cuda:0')"
295,"tensor(2.9658, device='cuda:0')","tensor(9.3833, device='cuda:0')"
296,"tensor(3.4269, device='cuda:0')","tensor(9.7559, device='cuda:0')"
297,"tensor(3.1359, device='cuda:0')","tensor(9.1784, device='cuda:0')"
298,"tensor(3.6559, device='cuda:0')","tensor(12.2798, device='cuda:0')"
299,"tensor(4.2484, device='cuda:0')","tensor(12.5373, device='cuda:0')"
300,"tensor(3.0111, device='cuda:0')","tensor(11.3981, device='cuda:0')"
301,"tensor(3.2850, device='cuda:0')","tensor(8.2939, device='cuda:0')"
302,"tensor(2.9312, device='cuda:0')","tensor(8.7503, device='cuda:0')"
303,"tensor(2.7272, device='cuda:0')","tensor(10.2511, device='cuda:0')"
304,"tensor(2.2729, device='cuda:0')","tensor(11.9540, device='cuda:0')"
305,"tensor(2.4011, device='cuda:0')","tensor(14.0955, device='cuda:0')"
306,"tensor(4.7224, device='cuda:0')","tensor(30.2638, device='cuda:0')"
307,"tensor(4.6508, device='cuda:0')","tensor(30.1150, device='cuda:0')"
308,"tensor(3.7587, device='cuda:0')","tensor(21.7470, device='cuda:0')"
309,"tensor(3.2414, device='cuda:0')","tensor(20.8051, device='cuda:0')"
310,"tensor(2.4089, device='cuda:0')","tensor(17.2587, device='cuda:0')"
311,"tensor(1.8293, device='cuda:0')","tensor(8.0421, device='cuda:0')"
