iteration,original_grad_norm,regularized_grad_norm
244,"tensor(6.8911, device='cuda:0')","tensor(39.7671, device='cuda:0')"
245,"tensor(6.2192, device='cuda:0')","tensor(49.7323, device='cuda:0')"
246,"tensor(5.2413, device='cuda:0')","tensor(56.9242, device='cuda:0')"
247,"tensor(13.0313, device='cuda:0')","tensor(60.3207, device='cuda:0')"
248,"tensor(15.1153, device='cuda:0')","tensor(74.3644, device='cuda:0')"
249,"tensor(5.3687, device='cuda:0')","tensor(64.2232, device='cuda:0')"
250,"tensor(5.9433, device='cuda:0')","tensor(92.0693, device='cuda:0')"
251,"tensor(6.0012, device='cuda:0')","tensor(25.5941, device='cuda:0')"
252,"tensor(6.6695, device='cuda:0')","tensor(28.8221, device='cuda:0')"
253,"tensor(7.6674, device='cuda:0')","tensor(32.6111, device='cuda:0')"
254,"tensor(10.0003, device='cuda:0')","tensor(38.2314, device='cuda:0')"
255,"tensor(12.5718, device='cuda:0')","tensor(46.2935, device='cuda:0')"
256,"tensor(14.3383, device='cuda:0')","tensor(62.9378, device='cuda:0')"
257,"tensor(13.9092, device='cuda:0')","tensor(60.2038, device='cuda:0')"
258,"tensor(10.8248, device='cuda:0')","tensor(94.8576, device='cuda:0')"
259,"tensor(7.8922, device='cuda:0')","tensor(63.9302, device='cuda:0')"
260,"tensor(9.3169, device='cuda:0')","tensor(68.2596, device='cuda:0')"
261,"tensor(8.7870, device='cuda:0')","tensor(27.3388, device='cuda:0')"
262,"tensor(15.0486, device='cuda:0')","tensor(39.6197, device='cuda:0')"
263,"tensor(13.9615, device='cuda:0')","tensor(39.3432, device='cuda:0')"
264,"tensor(17.0089, device='cuda:0')","tensor(47.6670, device='cuda:0')"
265,"tensor(15.5616, device='cuda:0')","tensor(45.7160, device='cuda:0')"
266,"tensor(17.7105, device='cuda:0')","tensor(50.2152, device='cuda:0')"
267,"tensor(10.9001, device='cuda:0')","tensor(44.5107, device='cuda:0')"
268,"tensor(11.0585, device='cuda:0')","tensor(46.2715, device='cuda:0')"
269,"tensor(9.2728, device='cuda:0')","tensor(44.2840, device='cuda:0')"
270,"tensor(8.9902, device='cuda:0')","tensor(48.9873, device='cuda:0')"
271,"tensor(9.6942, device='cuda:0')","tensor(33.3944, device='cuda:0')"
272,"tensor(9.3653, device='cuda:0')","tensor(37.8967, device='cuda:0')"
273,"tensor(8.3991, device='cuda:0')","tensor(39.3755, device='cuda:0')"
274,"tensor(8.4337, device='cuda:0')","tensor(58.2871, device='cuda:0')"
275,"tensor(7.5286, device='cuda:0')","tensor(52.1108, device='cuda:0')"
276,"tensor(7.5609, device='cuda:0')","tensor(48.3044, device='cuda:0')"
277,"tensor(8.8310, device='cuda:0')","tensor(46.9564, device='cuda:0')"
278,"tensor(11.3583, device='cuda:0')","tensor(48.3609, device='cuda:0')"
279,"tensor(7.9439, device='cuda:0')","tensor(41.8035, device='cuda:0')"
280,"tensor(6.5904, device='cuda:0')","tensor(37.5388, device='cuda:0')"
281,"tensor(8.4470, device='cuda:0')","tensor(22.2017, device='cuda:0')"
282,"tensor(14.9541, device='cuda:0')","tensor(79.3816, device='cuda:0')"
283,"tensor(14.2736, device='cuda:0')","tensor(55.9355, device='cuda:0')"
