iteration,original_grad_norm,regularized_grad_norm,target_norm,input_norm,new_input_norm,old_input_norm,bound_norm,scale,regul,deg_f
15,0.0058307647705078125,0.053182005882263184,31224.23046875,3.4963626861572266,3.4963626861572266,0.0,415.6921938165305,0.1,0.001,5.0
16,1.380758285522461,14.613836288452148,53.83065414428711,1.313949465751648,1.313949465751648,0.0,415.6921938165305,0.1,0.001,5.0
17,130.66439819335938,0.5773985385894775,255.32394409179688,187910.71875,187910.71875,0.0,415.6921938165305,0.1,0.001,5.0
18,184.71009826660156,13.021052360534668,13.79109001159668,4784.22998046875,4784.22998046875,0.0,415.6921938165305,0.1,0.001,5.0
19,22.04547691345215,2.711223840713501,16270.5419921875,4441.39208984375,4441.39208984375,0.0,415.6921938165305,0.1,0.001,5.0
20,0.1977134346961975,1.9695795774459839,5407.8291015625,0.4464496672153473,0.4464496672153473,0.0,415.6921938165305,0.1,0.001,5.0
21,92.81021881103516,0.41168829798698425,5180.0869140625,288887.03125,288887.03125,0.0,415.6921938165305,0.1,0.001,5.0
22,0.04605771228671074,0.29482585191726685,9002.9970703125,15.819034576416016,15.819034576416016,0.0,415.6921938165305,0.1,0.001,5.0
23,1.0742219686508179,13.400568008422852,82.36397552490234,1.411059856414795,1.411059856414795,0.0,415.6921938165305,0.1,0.001,5.0
24,137.5121307373047,0.3883965313434601,9.797286987304688,99675.609375,99675.609375,0.0,415.6921938165305,0.1,0.001,5.0
25,7.325900077819824,33.157474517822266,0.9460030794143677,17.962209701538086,17.962209701538086,0.0,415.6921938165305,0.1,0.001,5.0
26,0.18644365668296814,1.7136750221252441,2069.514404296875,0.4540528953075409,0.4540528953075409,0.0,415.6921938165305,0.1,0.001,5.0
27,3.3257341384887695,27.423583984375,6.883257865905762,6.323783874511719,6.323783874511719,0.0,415.6921938165305,0.1,0.001,5.0
28,34.20474624633789,39.95746612548828,0.34757933020591736,299.2357177734375,299.2357177734375,0.0,415.6921938165305,0.1,0.001,5.0
29,67.40943145751953,18.808881759643555,1.1545034646987915,934.7830810546875,934.7830810546875,0.0,415.6921938165305,0.1,0.001,5.0
30,8.5054931640625,2.6973302364349365,2832.20751953125,1152.82470703125,1152.82470703125,0.0,415.6921938165305,0.1,0.001,5.0
31,1.4709384441375732,12.473383903503418,53.68513488769531,1.3874258995056152,1.3874258995056152,0.0,415.6921938165305,0.1,0.001,5.0
32,164.39320373535156,3.432778835296631,48.71725082397461,4920.68896484375,4920.68896484375,0.0,415.6921938165305,0.1,0.001,5.0
33,0.5811609029769897,5.00383996963501,281.7807312011719,0.6799638271331787,0.6799638271331787,0.0,415.6921938165305,0.1,0.001,5.0
34,132.38803100585938,8.573480606079102,210.5854949951172,3256.890380859375,3256.890380859375,0.0,415.6921938165305,0.1,0.001,5.0
35,350.7605285644531,1.4673717021942139,546.9071655273438,158830.921875,158830.921875,0.0,415.6921938165305,0.1,0.001,5.0
36,343.7076416015625,1.26419997215271,1.1654006242752075,89692.015625,89692.015625,0.0,415.6921938165305,0.1,0.001,5.0
37,0.04368971660733223,0.4529203772544861,12544.3818359375,2.28779935836792,2.28779935836792,0.0,415.6921938165305,0.1,0.001,5.0
38,16.272035598754883,33.9117317199707,1.5036160945892334,79.35610961914062,79.35610961914062,0.0,415.6921938165305,0.1,0.001,5.0
39,138.39199829101562,0.5672356486320496,21.554672241210938,120482.046875,120482.046875,0.0,415.6921938165305,0.1,0.001,5.0
40,143.07962036132812,7.659412384033203,4082.756103515625,10738.1826171875,10738.1826171875,0.0,415.6921938165305,0.1,0.001,5.0
41,664.6389770507812,10.143141746520996,990.6322631835938,67199.21875,67199.21875,0.0,415.6921938165305,0.1,0.001,5.0
42,227.631103515625,7.744861125946045,22.399450302124023,10390.02734375,10390.02734375,0.0,415.6921938165305,0.1,0.001,5.0
43,0.011461243033409119,0.0855284035205841,40284.2265625,13.515267372131348,13.515267372131348,0.0,415.6921938165305,0.1,0.001,5.0
44,0.10878404229879379,0.1670306921005249,102274.5,122.99874114990234,122.99874114990234,0.0,415.6921938165305,0.1,0.001,5.0
45,88.2762222290039,9.783597946166992,992.8279418945312,3279.220947265625,3279.220947265625,0.0,415.6921938165305,0.1,0.001,5.0
46,0.0730578675866127,0.619386613368988,83398.2109375,1.6986587047576904,1.6986587047576904,0.0,415.6921938165305,0.1,0.001,5.0
47,6.918205261230469,9.914674758911133,464.56988525390625,167.89187622070312,167.89187622070312,0.0,415.6921938165305,0.1,0.001,5.0
48,17.635549545288086,37.84599685668945,4.40187406539917,90.52993774414062,90.52993774414062,0.0,415.6921938165305,0.1,0.001,5.0
49,126.00106048583984,0.26574113965034485,483.19403076171875,89228.0078125,89228.0078125,0.0,415.6921938165305,0.1,0.001,5.0
50,0.3384576439857483,3.046339988708496,900.2675170898438,0.3539857268333435,0.3539857268333435,0.0,415.6921938165305,0.1,0.001,5.0
51,2.2835540771484375,11.469085693359375,246.47216796875,30.49147605895996,30.49147605895996,0.0,415.6921938165305,0.1,0.001,5.0
52,251.78225708007812,1.9926981925964355,23.47203826904297,68382.15625,68382.15625,0.0,415.6921938165305,0.1,0.001,5.0
53,99.89861297607422,0.40329277515411377,941.6768188476562,94054.2890625,94054.2890625,0.0,415.6921938165305,0.1,0.001,5.0
54,0.008590362966060638,0.09231230616569519,69881.1953125,0.4090787172317505,0.4090787172317505,0.0,415.6921938165305,0.1,0.001,5.0
55,53.75311279296875,5.304640769958496,178369.765625,4883.95458984375,4883.95458984375,0.0,415.6921938165305,0.1,0.001,5.0
56,4.047881603240967,30.329269409179688,1.1478239297866821,3.7238638401031494,3.7238638401031494,0.0,415.6921938165305,0.1,0.001,5.0
57,1197.592529296875,5.574888229370117,2494.846435546875,138883.65625,138883.65625,0.0,415.6921938165305,0.1,0.001,5.0
58,0.03665022552013397,0.3895404636859894,5838.8271484375,0.8314357399940491,0.8314357399940491,0.0,415.6921938165305,0.1,0.001,5.0
59,16.72481918334961,0.6605328917503357,59780.59765625,11240.572265625,11240.572265625,0.0,415.6921938165305,0.1,0.001,5.0
60,114.28254699707031,5.150460243225098,0.9553743600845337,6463.1259765625,6463.1259765625,0.0,415.6921938165305,0.1,0.001,5.0
61,3.7914018630981445,29.33159828186035,0.24281924962997437,0.4417141079902649,0.4417141079902649,0.0,415.6921938165305,0.1,0.001,5.0
62,3.1323070526123047,28.313566207885742,5.057777404785156,0.5038601756095886,0.5038601756095886,0.0,415.6921938165305,0.1,0.001,5.0
63,724.7335815429688,3.2925901412963867,294.8075256347656,48350.21484375,48350.21484375,0.0,415.6921938165305,0.1,0.001,5.0
64,1.356231927871704,0.6686970591545105,18146.662109375,678.293212890625,678.293212890625,0.0,415.6921938165305,0.1,0.001,5.0
65,2.676143169403076,23.442625045776367,7.807465076446533,1.8602216243743896,1.8602216243743896,0.0,415.6921938165305,0.1,0.001,5.0
66,0.20815326273441315,0.052185188978910446,117792.5859375,1162.5863037109375,1162.5863037109375,0.0,415.6921938165305,0.1,0.001,5.0
67,49.681243896484375,28.72414779663086,0.2414013147354126,796.0841674804688,796.0841674804688,0.0,415.6921938165305,0.1,0.001,5.0
68,260.2925720214844,3.452723979949951,4.325973033905029,21095.517578125,21095.517578125,0.0,415.6921938165305,0.1,0.001,5.0
69,195.629150390625,3.1939237117767334,34.25205612182617,23445.828125,23445.828125,0.0,415.6921938165305,0.1,0.001,5.0
70,813.9640502929688,4.221996784210205,5018.02587890625,51289.24609375,51289.24609375,0.0,415.6921938165305,0.1,0.001,5.0
71,44.43632125854492,16.349573135375977,1.0870282649993896,757.2761840820312,757.2761840820312,0.0,415.6921938165305,0.1,0.001,5.0
72,3.5577611923217773,31.087934494018555,0.8935260772705078,0.7617008090019226,0.7617008090019226,0.0,415.6921938165305,0.1,0.001,5.0
73,4.017927169799805,37.705997467041016,0.7250407934188843,0.6055318117141724,0.6055318117141724,0.0,415.6921938165305,0.1,0.001,5.0
74,0.1890954077243805,1.643744707107544,3156.565185546875,7.6077799797058105,7.6077799797058105,0.0,415.6921938165305,0.1,0.001,5.0
75,48.02780532836914,18.18657112121582,0.2003631442785263,770.2013549804688,770.2013549804688,0.0,415.6921938165305,0.1,0.001,5.0
76,0.009332476183772087,0.10461803525686264,112388.5546875,0.8952925801277161,0.8952925801277161,0.0,415.6921938165305,0.1,0.001,5.0
77,57.40335464477539,18.09356689453125,2.9181857109069824,877.149658203125,877.149658203125,0.0,415.6921938165305,0.1,0.001,5.0
78,0.2241678088903427,1.473057508468628,4908.3037109375,10.93106746673584,10.93106746673584,0.0,415.6921938165305,0.1,0.001,5.0
79,0.49491921067237854,4.771153926849365,536.9381713867188,5.123468399047852,5.123468399047852,0.0,415.6921938165305,0.1,0.001,5.0
80,187.6765594482422,0.786611795425415,19044.02734375,219160.078125,219160.078125,0.0,415.6921938165305,0.1,0.001,5.0
